Fiscal Year,County,Region,Operation Type,Validated Investigation,Completed RCCI Abuse/Neglect Investigations
2017,Kendall,8-San Antonio,General Residential Operation,Not Validated,2
2017,Kendall,8-San Antonio,Residential Treatment Center,Not Validated,12
2017,Kerr,8-San Antonio,Child Placing Agency/Branch,Not Validated,4
2017,Kerr,8-San Antonio,General Residential Operation,Not Validated,15
2017,Kerr,8-San Antonio,Residential Treatment Center,Not Validated,3
2017,Lampasas,7-Austin,General Residential Operation,Not Validated,17
2017,Lampasas,7-Austin,General Residential Operation,Validated,3
2017,Lubbock,1-Lubbock,Child Placing Agency/Branch,Not Validated,42
2017,Lubbock,1-Lubbock,Child Placing Agency/Branch,Validated,1
2017,Lubbock,1-Lubbock,General Residential Operation,Not Validated,6
2017,Lubbock,1-Lubbock,Residential Treatment Center,Not Validated,15
2017,Matagorda,6-Houston,Residential Treatment Center,Not Validated,2
2017,McLennan,7-Austin,Child Placing Agency/Branch,Not Validated,5
2017,McLennan,7-Austin,General Residential Operation,Not Validated,3
2017,McLennan,7-Austin,General Residential Operation,Validated,1
2017,McLennan,7-Austin,Residential Treatment Center,Not Validated,4
2017,Medina,8-San Antonio,Child Placing Agency/Branch,Not Validated,14
2017,Medina,8-San Antonio,Child Placing Agency/Branch,Validated,1
2017,Midland,9-Midland,Child Placing Agency/Branch,Not Validated,5
2017,Midland,9-Midland,General Residential Operation,Not Validated,4
2017,Mills,7-Austin,Residential Treatment Center,Not Validated,7
2017,Montgomery,6-Houston,Child Placing Agency/Branch,Not Validated,1
2017,Montgomery,6-Houston,General Residential Operation,Not Validated,11
2017,Montgomery,6-Houston,Residential Treatment Center,Not Validated,16
2017,Nacogdoches,5-Beaumont,Child Placing Agency/Branch,Not Validated,2
2017,Nacogdoches,5-Beaumont,Child Placing Agency/Branch,Validated,1
2017,Navarro,3-Arlington,Child Placing Agency/Branch,Not Validated,4
2017,Navarro,3-Arlington,General Residential Operation,Not Validated,1
2017,Navarro,3-Arlington,Residential Treatment Center,Not Validated,1
2017,Nueces,11-Edinburg,Child Placing Agency/Branch,Not Validated,29
2017,Nueces,11-Edinburg,Child Placing Agency/Branch,Validated,4
2017,Nueces,11-Edinburg,General Residential Operation,Not Validated,13
2017,Oldham,1-Lubbock,General Residential Operation,Not Validated,4
2017,Parker,3-Arlington,Child Placing Agency/Branch,Not Validated,2
2017,Parker,3-Arlington,Child Placing Agency/Branch,Validated,1
2017,Potter,1-Lubbock,Child Placing Agency/Branch,Not Validated,16
2017,Potter,1-Lubbock,Child Placing Agency/Branch,Validated,2
2017,Potter,1-Lubbock,General Residential Operation,Not Validated,3
2017,Randall,1-Lubbock,Child Placing Agency/Branch,Not Validated,15
2017,Randall,1-Lubbock,General Residential Operation,Not Validated,5
2017,Randall,1-Lubbock,Residential Treatment Center,Not Validated,13
2017,San Patricio,11-Edinburg,General Residential Operation,Not Validated,20
2017,San Patricio,11-Edinburg,General Residential Operation,Validated,3
2017,Shelby,5-Beaumont,Child Placing Agency/Branch,Not Validated,1
2017,Smith,4-Tyler,Child Placing Agency/Branch,Not Validated,36
2017,Smith,4-Tyler,Child Placing Agency/Branch,Validated,1
2017,Smith,4-Tyler,General Residential Operation,Not Validated,9
2017,Smith,4-Tyler,Residential Treatment Center,Not Validated,47
2017,Smith,4-Tyler,Residential Treatment Center,Validated,4
2017,Tarrant,3-Arlington,Child Placing Agency/Branch,Not Validated,102
2017,Tarrant,3-Arlington,Child Placing Agency/Branch,Validated,7
2017,Tarrant,3-Arlington,Exemption Request,Not Validated,1
2017,Tarrant,3-Arlington,General Residential Operation,Not Validated,7
2017,Tarrant,3-Arlington,General Residential Operation,Validated,1
2017,Taylor,2-Abilene,Child Placing Agency/Branch,Not Validated,9
2017,Taylor,2-Abilene,Child Placing Agency/Branch,Validated,1
2017,Taylor,2-Abilene,General Residential Operation,Not Validated,11
2017,Tom Green,9-Midland,Child Placing Agency/Branch,Not Validated,2
2017,Tom Green,9-Midland,Child Placing Agency/Branch,Validated,2
2017,Travis,7-Austin,Child Placing Agency/Branch,Not Validated,40
2017,Travis,7-Austin,Child Placing Agency/Branch,Validated,3
2017,Travis,7-Austin,General Residential Operation,Not Validated,19
2017,Travis,7-Austin,Residential Treatment Center,Not Validated,16
2017,Tyler,5-Beaumont,General Residential Operation,Not Validated,1
2017,Tyler,5-Beaumont,Residential Treatment Center,Not Validated,2
2017,Victoria,8-San Antonio,Child Placing Agency/Branch,Not Validated,1
2017,Victoria,8-San Antonio,Residential Treatment Center,Not Validated,7
2017,Victoria,8-San Antonio,Residential Treatment Center,Validated,1
2017,Walker,6-Houston,General Residential Operation,Not Validated,16
2017,Walker,6-Houston,General Residential Operation,Validated,1
2017,Walker,6-Houston,Residential Treatment Center,Not Validated,6
2017,Washington,7-Austin,General Residential Operation,Not Validated,1
2017,Webb,11-Edinburg,Child Placing Agency/Branch,Not Validated,10
2017,Webb,11-Edinburg,Child Placing Agency/Branch,Validated,1
2017,Webb,11-Edinburg,General Residential Operation,Not Validated,4
2017,Webb,11-Edinburg,General Residential Operation,Validated,2
2017,Wichita,2-Abilene,Child Placing Agency/Branch,Not Validated,9
2017,Wichita,2-Abilene,Child Placing Agency/Branch,Validated,2
2017,Wichita,2-Abilene,General Residential Operation,Not Validated,1
2017,Williamson,7-Austin,Child Placing Agency/Branch,Not Validated,13
2017,Williamson,7-Austin,Child Placing Agency/Branch,Validated,1
2017,Williamson,7-Austin,General Residential Operation,Not Validated,2
2017,Williamson,7-Austin,Residential Treatment Center,Not Validated,2
2016,Austin,6-Houston,Residential Treatment Center,Not Validated,28
2016,Austin,6-Houston,Residential Treatment Center,Validated,2
2016,Bee,11-Edinburg,General Residential Operation,Not Validated,2
2016,Bell,7-Austin,Child Placing Agency/Branch,Not Validated,19
2016,Bell,7-Austin,Child Placing Agency/Branch,Validated,1
2016,Bell,7-Austin,General Residential Operation,Not Validated,1
2016,Bell,7-Austin,Residential Treatment Center,Not Validated,2
2016,Bell,7-Austin,Residential Treatment Center,Validated,1
2016,Bexar,8-San Antonio,Child Placing Agency/Branch,Not Validated,87
2016,Bexar,8-San Antonio,Child Placing Agency/Branch,Validated,4
2016,Bexar,8-San Antonio,General Residential Operation,Not Validated,47
2016,Bexar,8-San Antonio,Residential Treatment Center,Not Validated,95
2016,Bexar,8-San Antonio,Residential Treatment Center,Validated,4
2016,Bexar,8-San Antonio,Unregulated Operation,Not Validated,1
2016,Bexar,8-San Antonio,Unregulated Operation,Validated,1
2016,Brazoria,6-Houston,Child Placing Agency/Branch,Not Validated,1
2016,Brazoria,6-Houston,Child Placing Agency/Branch,Validated,1
2016,Brazoria,6-Houston,General Residential Operation,Not Validated,1
2016,Brazoria,6-Houston,Residential Treatment Center,Not Validated,3
2016,Brazos,7-Austin,Child Placing Agency/Branch,Not Validated,2
2016,Brazos,7-Austin,Residential Treatment Center,Not Validated,6
2016,Brown,2-Abilene,Child Placing Agency/Branch,Not Validated,18
2016,Brown,2-Abilene,Child Placing Agency/Branch,Validated,1
2016,Brown,2-Abilene,General Residential Operation,Not Validated,4
2016,Caldwell,7-Austin,Residential Treatment Center,Not Validated,4
2016,Cameron,11-Edinburg,Child Placing Agency/Branch,Not Validated,38
2016,Cameron,11-Edinburg,Child Placing Agency/Branch,Validated,2
2016,Cameron,11-Edinburg,General Residential Operation,Not Validated,25
2016,Cameron,11-Edinburg,General Residential Operation,Validated,1
2016,Collin,3-Arlington,Child Placing Agency/Branch,Not Validated,2
2016,Collin,3-Arlington,General Residential Operation,Not Validated,1
2016,Comal,8-San Antonio,General Residential Operation,Not Validated,10
2016,Comal,8-San Antonio,Residential Treatment Center,Not Validated,10
2016,Comal,8-San Antonio,Residential Treatment Center,Validated,2
2016,Comanche,2-Abilene,Child Placing Agency/Branch,Not Validated,2
2016,Dallas,3-Arlington,Child Placing Agency/Branch,Not Validated,89
2016,Dallas,3-Arlington,Child Placing Agency/Branch,Validated,3
2016,Dallas,3-Arlington,General Residential Operation,Not Validated,1
2016,Dallas,3-Arlington,Residential Treatment Center,Not Validated,6
2016,Denton,3-Arlington,General Residential Operation,Not Validated,1
2016,DeWitt,8-San Antonio,General Residential Operation,Not Validated,2
2016,Ellis,3-Arlington,Child Placing Agency/Branch,Not Validated,10
2016,Ellis,3-Arlington,General Residential Operation,Not Validated,1
2016,El Paso,10-El Paso,Child Placing Agency/Branch,Not Validated,26
2016,El Paso,10-El Paso,General Residential Operation,Not Validated,3
2016,Erath,3-Arlington,General Residential Operation,Not Validated,3
2016,Falls,7-Austin,Residential Treatment Center,Not Validated,4
2016,Fayette,7-Austin,Residential Treatment Center,Not Validated,5
2016,Fort Bend,6-Houston,Child Placing Agency/Branch,Not Validated,3
2016,Fort Bend,6-Houston,Child Placing Agency/Branch,Validated,1
2016,Fort Bend,6-Houston,General Residential Operation,Not Validated,2
2016,Fort Bend,6-Houston,General Residential Operation,Validated,1
2016,Fort Bend,6-Houston,Residential Treatment Center,Not Validated,38
2016,Fort Bend,6-Houston,Residential Treatment Center,Validated,5
2016,Freestone,7-Austin,General Residential Operation,Not Validated,2
2016,Galveston,6-Houston,Child Placing Agency/Branch,Not Validated,6
2016,Galveston,6-Houston,Child Placing Agency/Branch,Validated,1
2016,Galveston,6-Houston,General Residential Operation,Not Validated,1
2016,Galveston,6-Houston,Residential Treatment Center,Not Validated,15
2016,Gonzales,8-San Antonio,Child Placing Agency/Branch,Not Validated,15
2016,Gonzales,8-San Antonio,Child Placing Agency/Branch,Validated,2
2016,Gonzales,8-San Antonio,General Residential Operation,Not Validated,6
2016,Grayson,3-Arlington,General Residential Operation,Not Validated,1
2016,Gregg,4-Tyler,Child Placing Agency/Branch,Not Validated,4
2016,Harris,6-Houston,Child Placing Agency/Branch,Not Validated,141
2016,Harris,6-Houston,Child Placing Agency/Branch,Validated,11
2016,Harris,6-Houston,General Residential Operation,Not Validated,31
2016,Harris,6-Houston,General Residential Operation,Validated,3
2016,Harris,6-Houston,Residential Treatment Center,Not Validated,79
2016,Harris,6-Houston,Residential Treatment Center,Validated,4
2016,Hays,7-Austin,Child Placing Agency/Branch,Not Validated,8
2016,Hays,7-Austin,Residential Treatment Center,Not Validated,24
2016,Hays,7-Austin,Residential Treatment Center,Validated,2
2016,Hidalgo,11-Edinburg,Child Placing Agency/Branch,Not Validated,49
2016,Hidalgo,11-Edinburg,Child Placing Agency/Branch,Validated,1
2016,Hidalgo,11-Edinburg,General Residential Operation,Not Validated,3
2016,Hill,7-Austin,General Residential Operation,Validated,1
2016,Hockley,1-Lubbock,Residential Treatment Center,Not Validated,34
2016,Hockley,1-Lubbock,Residential Treatment Center,Validated,2
2016,Hopkins,4-Tyler,Child Placing Agency/Branch,Not Validated,5
2016,Hunt,3-Arlington,Child Placing Agency/Branch,Not Validated,1
2016,Hunt,3-Arlington,Residential Treatment Center,Not Validated,5
2016,Jeff Davis,10-El Paso,Residential Treatment Center,Not Validated,1
2016,Jefferson,5-Beaumont,Child Placing Agency/Branch,Not Validated,19
2016,Jefferson,5-Beaumont,General Residential Operation,Not Validated,9
2016,Jefferson,5-Beaumont,General Residential Operation,Validated,2
2016,Karnes,8-San Antonio,General Residential Operation,Not Validated,2
2016,Kendall,8-San Antonio,Child Placing Agency/Branch,Not Validated,4
2016,Kendall,8-San Antonio,Child Placing Agency/Branch,Validated,1
2016,Kendall,8-San Antonio,General Residential Operation,Not Validated,1
2016,Kendall,8-San Antonio,Residential Treatment Center,Not Validated,4
2016,Kerr,8-San Antonio,Child Placing Agency/Branch,Not Validated,8
2016,Kerr,8-San Antonio,General Residential Operation,Not Validated,13
2016,Kerr,8-San Antonio,General Residential Operation,Validated,2
2016,Kerr,8-San Antonio,Residential Treatment Center,Not Validated,1
2016,Lampasas,7-Austin,General Residential Operation,Not Validated,16
2016,Lampasas,7-Austin,General Residential Operation,Validated,1
2016,Lubbock,1-Lubbock,Child Placing Agency/Branch,Not Validated,24
2016,Lubbock,1-Lubbock,Child Placing Agency/Branch,Validated,2
2016,Lubbock,1-Lubbock,General Residential Operation,Not Validated,4
2016,Lubbock,1-Lubbock,Residential Treatment Center,Not Validated,6
2016,Matagorda,6-Houston,Residential Treatment Center,Not Validated,4
2016,McLennan,7-Austin,Child Placing Agency/Branch,Not Validated,4
2016,McLennan,7-Austin,Child Placing Agency/Branch,Validated,1
2016,McLennan,7-Austin,General Residential Operation,Not Validated,5
2016,McLennan,7-Austin,Residential Treatment Center,Not Validated,5
2016,Medina,8-San Antonio,Child Placing Agency/Branch,Not Validated,16
2016,Midland,9-Midland,General Residential Operation,Not Validated,3
2016,Milam,7-Austin,General Residential Operation,Not Validated,3
2016,Milam,7-Austin,General Residential Operation,Validated,1
2016,Mills,7-Austin,Residential Treatment Center,Not Validated,5
2016,Montgomery,6-Houston,Child Placing Agency/Branch,Not Validated,2
2016,Montgomery,6-Houston,General Residential Operation,Not Validated,11
2016,Montgomery,6-Houston,General Residential Operation,Validated,1
2016,Montgomery,6-Houston,Residential Treatment Center,Not Validated,3
2016,Nacogdoches,5-Beaumont,Child Placing Agency/Branch,Not Validated,9
2016,Nacogdoches,5-Beaumont,Child Placing Agency/Branch,Validated,1
2016,Navarro,3-Arlington,Child Placing Agency/Branch,Not Validated,1
2016,Navarro,3-Arlington,General Residential Operation,Not Validated,1
2016,Nueces,11-Edinburg,Child Placing Agency/Branch,Not Validated,34
2016,Nueces,11-Edinburg,Child Placing Agency/Branch,Validated,4
2016,Nueces,11-Edinburg,General Residential Operation,Not Validated,10
2016,Oldham,1-Lubbock,General Residential Operation,Not Validated,6
2016,Potter,1-Lubbock,Child Placing Agency/Branch,Not Validated,11
2016,Potter,1-Lubbock,Child Placing Agency/Branch,Validated,1
2016,Potter,1-Lubbock,General Residential Operation,Not Validated,6
2016,Randall,1-Lubbock,Child Placing Agency/Branch,Not Validated,11
2016,Randall,1-Lubbock,Child Placing Agency/Branch,Validated,2
2016,Randall,1-Lubbock,General Residential Operation,Not Validated,6
2016,Randall,1-Lubbock,General Residential Operation,Validated,2
2016,Rusk,4-Tyler,Unregulated Operation,Not Validated,1
2016,San Patricio,11-Edinburg,General Residential Operation,Not Validated,19
2016,San Patricio,11-Edinburg,General Residential Operation,Validated,3
2016,Shelby,5-Beaumont,Child Placing Agency/Branch,Not Validated,2
2016,Shelby,5-Beaumont,Child Placing Agency/Branch,Validated,1
2016,Smith,4-Tyler,Child Placing Agency/Branch,Not Validated,10
2016,Smith,4-Tyler,General Residential Operation,Not Validated,5
2016,Smith,4-Tyler,Residential Treatment Center,Not Validated,9
2016,Tarrant,3-Arlington,Child Placing Agency/Branch,Not Validated,66
2016,Tarrant,3-Arlington,Child Placing Agency/Branch,Validated,2
2016,Tarrant,3-Arlington,General Residential Operation,Not Validated,5
2016,Tarrant,3-Arlington,Unregulated Operation,Validated,1
2016,Taylor,2-Abilene,Child Placing Agency/Branch,Not Validated,9
2016,Taylor,2-Abilene,General Residential Operation,Not Validated,3
2016,Tom Green,9-Midland,Child Placing Agency/Branch,Not Validated,4
2016,Travis,7-Austin,Child Placing Agency/Branch,Not Validated,52
2016,Travis,7-Austin,Child Placing Agency/Branch,Validated,4
2016,Travis,7-Austin,General Residential Operation,Not Validated,11
2016,Travis,7-Austin,General Residential Operation,Validated,1
2016,Travis,7-Austin,Residential Treatment Center,Not Validated,19
2016,Travis,7-Austin,Residential Treatment Center,Validated,1
2016,Tyler,5-Beaumont,Residential Treatment Center,Not Validated,9
2016,Tyler,5-Beaumont,Residential Treatment Center,Validated,2
2016,Victoria,8-San Antonio,Residential Treatment Center,Not Validated,6
2016,Walker,6-Houston,General Residential Operation,Not Validated,3
2016,Walker,6-Houston,Residential Treatment Center,Not Validated,4
2016,Webb,11-Edinburg,Child Placing Agency/Branch,Not Validated,6
2016,Webb,11-Edinburg,Child Placing Agency/Branch,Validated,1
2016,Webb,11-Edinburg,General Residential Operation,Not Validated,2
2016,Wichita,2-Abilene,Child Placing Agency/Branch,Not Validated,6
2016,Willacy,11-Edinburg,General Residential Operation,Not Validated,1
2016,Williamson,7-Austin,Child Placing Agency/Branch,Not Validated,16
2016,Williamson,7-Austin,Child Placing Agency/Branch,Validated,3
2016,Williamson,7-Austin,General Residential Operation,Not Validated,10
2016,Williamson,7-Austin,Residential Treatment Center,Not Validated,6
2016,Williamson,7-Austin,Residential Treatment Center,Validated,1
2015,Austin,6-Houston,Residential Treatment Center,Not Validated,40
2015,Austin,6-Houston,Residential Treatment Center,Validated,2
2015,Bandera,8-San Antonio,General Residential Operation,Not Validated,1
2015,Bell,7-Austin,Child Placing Agency/Branch,Not Validated,29
2015,Bell,7-Austin,Child Placing Agency/Branch,Validated,1
2015,Bell,7-Austin,General Residential Operation,Not Validated,2
2015,Bell,7-Austin,Residential Treatment Center,Not Validated,4
2015,Bexar,8-San Antonio,Child Placing Agency/Branch,Not Validated,115
2015,Bexar,8-San Antonio,Child Placing Agency/Branch,Validated,4
2015,Bexar,8-San Antonio,General Residential Operation,Not Validated,29
2015,Bexar,8-San Antonio,General Residential Operation,Validated,2
2015,Bexar,8-San Antonio,Residential Treatment Center,Not Validated,99
2015,Bexar,8-San Antonio,Residential Treatment Center,Validated,2
2015,Bexar,8-San Antonio,Unregulated Operation,Validated,1
2015,Brazoria,6-Houston,Child Placing Agency/Branch,Not Validated,8
2015,Brazoria,6-Houston,General Residential Operation,Not Validated,2
2015,Brazoria,6-Houston,Residential Treatment Center,Not Validated,6
2015,Brazos,7-Austin,General Residential Operation,Validated,1
2015,Brazos,7-Austin,Residential Treatment Center,Not Validated,5
2015,Brazos,7-Austin,Residential Treatment Center,Validated,1
2015,Brown,2-Abilene,Child Placing Agency/Branch,Not Validated,13
2015,Brown,2-Abilene,Child Placing Agency/Branch,Validated,2
2015,Brown,2-Abilene,General Residential Operation,Not Validated,2
2015,Caldwell,7-Austin,Residential Treatment Center,Not Validated,8
2015,Cameron,11-Edinburg,Child Placing Agency/Branch,Not Validated,32
2015,Cameron,11-Edinburg,General Residential Operation,Not Validated,6
2015,Collin,3-Arlington,Child Placing Agency/Branch,Not Validated,5
2015,Collin,3-Arlington,Child Placing Agency/Branch,Validated,1
2015,Comal,8-San Antonio,Child Placing Agency/Branch,Not Validated,2
2015,Comal,8-San Antonio,General Residential Operation,Not Validated,6
2015,Comal,8-San Antonio,Residential Treatment Center,Not Validated,7
2015,Comal,8-San Antonio,Residential Treatment Center,Validated,1
2015,Comanche,2-Abilene,Child Placing Agency/Branch,Not Validated,5
2015,Coryell,7-Austin,Child Placing Agency/Branch,Not Validated,5
2015,Dallas,3-Arlington,Child Placing Agency/Branch,Not Validated,136
2015,Dallas,3-Arlington,Child Placing Agency/Branch,Validated,2
2015,Dallas,3-Arlington,General Residential Operation,Not Validated,7
2015,Dallas,3-Arlington,Residential Treatment Center,Not Validated,22
2015,Dallas,3-Arlington,Residential Treatment Center,Validated,2
2015,Dallas,3-Arlington,Unregulated Operation,Not Validated,1
2015,Denton,3-Arlington,General Residential Operation,Not Validated,1
2015,DeWitt,8-San Antonio,General Residential Operation,Not Validated,1
2015,Ector,9-Midland,Child Placing Agency/Branch,Not Validated,1
2015,Ellis,3-Arlington,Child Placing Agency/Branch,Not Validated,13
2015,Ellis,3-Arlington,General Residential Operation,Not Validated,1
2015,El Paso,10-El Paso,Child Placing Agency/Branch,Not Validated,20
2015,El Paso,10-El Paso,Child Placing Agency/Branch,Validated,3
2015,El Paso,10-El Paso,General Residential Operation,Not Validated,4
2015,Falls,7-Austin,Residential Treatment Center,Not Validated,3
2015,Fayette,7-Austin,Residential Treatment Center,Not Validated,2
2015,Fort Bend,6-Houston,Child Placing Agency/Branch,Not Validated,8
2015,Fort Bend,6-Houston,Child Placing Agency/Branch,Validated,1
2015,Fort Bend,6-Houston,General Residential Operation,Not Validated,2
2015,Fort Bend,6-Houston,Residential Treatment Center,Not Validated,42
2015,Freestone,7-Austin,General Residential Operation,Not Validated,1
2015,Galveston,6-Houston,Child Placing Agency/Branch,Not Validated,2
2015,Galveston,6-Houston,Residential Treatment Center,Not Validated,15
2015,Galveston,6-Houston,Residential Treatment Center,Validated,1
2015,Galveston,6-Houston,Unregulated Operation,Not Validated,1
2015,Gonzales,8-San Antonio,Child Placing Agency/Branch,Not Validated,18
2015,Gonzales,8-San Antonio,General Residential Operation,Not Validated,3
2015,Gregg,4-Tyler,Child Placing Agency/Branch,Not Validated,1
2015,Harris,6-Houston,Child Placing Agency/Branch,Not Validated,168
2015,Harris,6-Houston,Child Placing Agency/Branch,Validated,9
2015,Harris,6-Houston,General Residential Operation,Not Validated,44
2015,Harris,6-Houston,Residential Treatment Center,Not Validated,100
2015,Harris,6-Houston,Residential Treatment Center,Validated,2
2015,Hays,7-Austin,Child Placing Agency/Branch,Not Validated,11
2015,Hays,7-Austin,Child Placing Agency/Branch,Validated,1
2015,Hays,7-Austin,Residential Treatment Center,Not Validated,50
2015,Hays,7-Austin,Residential Treatment Center,Validated,4
2015,Hidalgo,11-Edinburg,Child Placing Agency/Branch,Not Validated,36
2015,Hidalgo,11-Edinburg,Child Placing Agency/Branch,Validated,1
2015,Hidalgo,11-Edinburg,General Residential Operation,Not Validated,4
2015,Hill,7-Austin,General Residential Operation,Not Validated,2
2015,Hockley,1-Lubbock,Residential Treatment Center,Not Validated,43
2015,Hockley,1-Lubbock,Residential Treatment Center,Validated,1
2015,Hood,3-Arlington,Child Placing Agency/Branch,Not Validated,4
2015,Hopkins,4-Tyler,Child Placing Agency/Branch,Not Validated,1
2015,Hopkins,4-Tyler,Child Placing Agency/Branch,Validated,1
2015,Hunt,3-Arlington,Residential Treatment Center,Not Validated,6
2015,Jeff Davis,10-El Paso,Residential Treatment Center,Not Validated,2
2015,Jefferson,5-Beaumont,Child Placing Agency/Branch,Not Validated,3
2015,Jefferson,5-Beaumont,Child Placing Agency/Branch,Validated,1
2015,Jefferson,5-Beaumont,General Residential Operation,Not Validated,5
2015,Kaufman,3-Arlington,General Residential Operation,Not Validated,2
2015,Kendall,8-San Antonio,Child Placing Agency/Branch,Not Validated,4
2015,Kendall,8-San Antonio,General Residential Operation,Not Validated,2
2015,Kendall,8-San Antonio,Residential Treatment Center,Not Validated,10
2015,Kerr,8-San Antonio,Child Placing Agency/Branch,Not Validated,8
2015,Kerr,8-San Antonio,General Residential Operation,Not Validated,11
2015,Kerr,8-San Antonio,Residential Treatment Center,Not Validated,1
2015,Lampasas,7-Austin,General Residential Operation,Not Validated,19
2015,Lubbock,1-Lubbock,Child Placing Agency/Branch,Not Validated,29
2015,Lubbock,1-Lubbock,General Residential Operation,Not Validated,9
2015,Lubbock,1-Lubbock,General Residential Operation,Validated,1
2015,Lubbock,1-Lubbock,Residential Treatment Center,Not Validated,18
2015,Matagorda,6-Houston,Residential Treatment Center,Not Validated,5
2015,McLennan,7-Austin,Child Placing Agency/Branch,Not Validated,2
2015,McLennan,7-Austin,General Residential Operation,Not Validated,4
2015,McLennan,7-Austin,Residential Treatment Center,Not Validated,5
2015,McLennan,7-Austin,Residential Treatment Center,Validated,1
2015,Medina,8-San Antonio,Child Placing Agency/Branch,Not Validated,3
2015,Midland,9-Midland,Child Placing Agency/Branch,Not Validated,9
2015,Midland,9-Midland,General Residential Operation,Not Validated,2
2015,Mills,7-Austin,Residential Treatment Center,Not Validated,3
2015,Mills,7-Austin,Residential Treatment Center,Validated,1
2015,Montgomery,6-Houston,Child Placing Agency/Branch,Not Validated,6
2015,Montgomery,6-Houston,General Residential Operation,Not Validated,10
2015,Montgomery,6-Houston,Residential Treatment Center,Not Validated,2
2015,Nacogdoches,5-Beaumont,Child Placing Agency/Branch,Not Validated,5
2015,Navarro,3-Arlington,Child Placing Agency/Branch,Not Validated,4
2015,Navarro,3-Arlington,General Residential Operation,Not Validated,2
2015,Navarro,3-Arlington,Residential Treatment Center,Not Validated,1
2015,Nueces,11-Edinburg,Child Placing Agency/Branch,Not Validated,27
2015,Nueces,11-Edinburg,General Residential Operation,Not Validated,7
2015,Oldham,1-Lubbock,General Residential Operation,Not Validated,3
2015,Potter,1-Lubbock,Child Placing Agency/Branch,Not Validated,12
2015,Potter,1-Lubbock,General Residential Operation,Not Validated,1
2015,Randall,1-Lubbock,Child Placing Agency/Branch,Not Validated,4
2015,Randall,1-Lubbock,General Residential Operation,Not Validated,6
2015,San Patricio,11-Edinburg,General Residential Operation,Not Validated,14
2015,San Patricio,11-Edinburg,General Residential Operation,Validated,1
2015,San Patricio,11-Edinburg,Residential Treatment Center,Not Validated,7
2015,San Patricio,11-Edinburg,Residential Treatment Center,Validated,1
2015,San Saba,7-Austin,General Residential Operation,Not Validated,1
2015,San Saba,7-Austin,General Residential Operation,Validated,1
2015,Shelby,5-Beaumont,Child Placing Agency/Branch,Not Validated,7
2015,Shelby,5-Beaumont,Child Placing Agency/Branch,Validated,1
2015,Smith,4-Tyler,Child Placing Agency/Branch,Not Validated,22
2015,Smith,4-Tyler,Child Placing Agency/Branch,Validated,3
2015,Smith,4-Tyler,General Residential Operation,Not Validated,10
2015,Smith,4-Tyler,Residential Treatment Center,Not Validated,25
2015,Smith,4-Tyler,Residential Treatment Center,Validated,1
2015,Tarrant,3-Arlington,Child Placing Agency/Branch,Not Validated,114
2015,Tarrant,3-Arlington,Child Placing Agency/Branch,Validated,4
2015,Tarrant,3-Arlington,General Residential Operation,Not Validated,7
2015,Tarrant,3-Arlington,General Residential Operation,Validated,2
2015,Tarrant,3-Arlington,Residential Treatment Center,Not Validated,4
2015,Taylor,2-Abilene,Child Placing Agency/Branch,Not Validated,11
2015,Taylor,2-Abilene,Child Placing Agency/Branch,Validated,1
2015,Taylor,2-Abilene,General Residential Operation,Not Validated,5
2015,Taylor,2-Abilene,Residential Treatment Center,Not Validated,1
2015,Tom Green,9-Midland,Child Placing Agency/Branch,Not Validated,7
2015,Tom Green,9-Midland,Child Placing Agency/Branch,Validated,2
2015,Travis,7-Austin,Child Placing Agency/Branch,Not Validated,46
2015,Travis,7-Austin,Child Placing Agency/Branch,Validated,2
2015,Travis,7-Austin,General Residential Operation,Not Validated,12
2015,Travis,7-Austin,Residential Treatment Center,Not Validated,14
2015,Tyler,5-Beaumont,General Residential Operation,Not Validated,1
2015,Tyler,5-Beaumont,Residential Treatment Center,Not Validated,7
2015,Victoria,8-San Antonio,Child Placing Agency/Branch,Not Validated,5
2015,Victoria,8-San Antonio,General Residential Operation,Not Validated,1
2015,Victoria,8-San Antonio,Residential Treatment Center,Not Validated,4
2015,Walker,6-Houston,General Residential Operation,Not Validated,1
2015,Walker,6-Houston,General Residential Operation,Validated,3
2015,Walker,6-Houston,Residential Treatment Center,Not Validated,11
2015,Webb,11-Edinburg,Child Placing Agency/Branch,Not Validated,8
2015,Webb,11-Edinburg,General Residential Operation,Not Validated,1
2015,Wichita,2-Abilene,Child Placing Agency/Branch,Not Validated,4
2015,Williamson,7-Austin,Child Placing Agency/Branch,Not Validated,17
2015,Williamson,7-Austin,Child Placing Agency/Branch,Validated,1
2015,Williamson,7-Austin,General Residential Operation,Not Validated,3
2015,Williamson,7-Austin,Residential Treatment Center,Not Validated,4
2014,Angelina,5-Beaumont,Child Placing Agency/Branch,Not Validated,1
2014,Austin,6-Houston,Residential Treatment Center,Not Validated,32
2014,Austin,6-Houston,Residential Treatment Center,Validated,1
2014,Bandera,8-San Antonio,General Residential Operation,Not Validated,1
2014,Bell,7-Austin,Child Placing Agency/Branch,Not Validated,29
2014,Bell,7-Austin,Child Placing Agency/Branch,Validated,2
2014,Bell,7-Austin,General Residential Operation,Validated,1
2014,Bell,7-Austin,Residential Treatment Center,Not Validated,3
2014,Bexar,8-San Antonio,Child Placing Agency/Branch,Not Validated,101
2014,Bexar,8-San Antonio,Child Placing Agency/Branch,Validated,2
