DistName,n_schools,n_students,st_pct_black,st_pct_hisp,st_pct_white,st_pct_native,st_pct_asian,st_pct_pac,st_pct_mult,st_pct_ecodis,st_pct_englishlearners,st_pct_speced,st_pct_bilingual,st_pct_careertech,st_pct_gifted,attendance_rate,ann_dropout_rate,ann_grad_count_1819,avg_sat_1819,avg_act_1819,tot_staff_fte,tot_teach_fte,staff_pct_centraladmin,staff_pct_schooladmin,staff_pct_profsupport,staff_pct_teach,staff_pct_educaides,staff_pct_aux,avg_salary_central,avg_salary_school,avg_salary_prof,avg_salary_teach,staff_pct_minority,stud_teach_ratio,teach_pct_5underexp,teach_avgexp,teach_pct_advdegrees,teach_turnover_rate,teach_pct_black,teach_pct_hisp,teach_pct_white,teach_pct_native,teach_pct_asian,teach_pct_pac,teach_pct_mult,teach_pct_reged,teach_pct_speced,teach_pct_compeduc,teach_pct_esl,taxable_value_per_student_17,local_tax_rate_18,tot_operating_reevenue,rev_pct_state,rev_pct_local,rev_pct_fed,tot_other_rev,fund_balance,net_assets_charter,tot_expend_1819,tot_opexpend_per_student,,exp_pct_basiced,exp_pect_speced,exp_pct_state,exp_pct_esl,exp_pct_cartecheduc,exp_pct_gifted,exp_pct_athletics,exp_pct_hsallotment,exp_pct_kinder,exp_pct_na,district_size,community_type,property_wealth,tax_rate
SMYER ISD,1,441,1.8,48.3,49,0.2,0,0,0.7,48.3,2.9,12,2.9,37,7.9,96.2,0,23,-1,16.6,62.4,40.4,1.6,3.2,2.5,64.6,8,20,108243,88542,64015,50451,27.8,10.9,26.6,14.3,14.3,12.5,0,14.5,80.7,0,0,0,4.8,77.8,5.3,7.3,0,223563,1.26,5869989,65.6,25.9,8.5,275684,3031013,0,5538614,10758,54,38.1,5.6,9.2,0.1,5.8,0.3,4.9,0.7,1.4,33.9,Under 500,Rural,"$178,741 to < $225,013",$1.1701 to under $1.3141
SUNDOWN ISD,4,586,1.5,56.8,41.1,0,0.3,0,0.2,43,3.4,9.9,3.4,32.3,10.6,97.4,0,45,1118,24.6,104.3,61.3,1.9,3.7,7.3,58.8,9.1,19.2,130017,101052,54739,55199,27.8,9.6,14.9,16.5,24.8,14.1,1.6,11.4,86.9,0,0,0,0,78.5,3.1,8.3,0.5,1352507,1.04,10660438,14.8,82.4,2.8,172742,2862362,0,9842461,16054,58.9,46.3,7,6.2,0.1,3.7,1.1,5.5,0.9,2.2,26.8,500 to 999,Rural,"$847,341 and over",Under $1.1701
WHITHARRAL ISD,1,180,1.1,40.6,55,0,0,0,3.3,47.2,1.1,7.2,1.1,48.3,6.1,96.8,0,10,.,21.3,31.5,17.9,3.2,2.5,2.5,56.9,9.5,25.4,100000,70000,55440,49114,34.9,10,11.2,13.1,1.2,11.7,0,5.6,88.8,5.6,0,0,0,74.2,5.6,5.6,0,290027,1.17,2079129,60.3,32.7,7.1,38956,590236,0,2862538,11453,55.7,47.3,3.5,7.2,0,4.7,0.2,4.3,1.5,0.2,31,Under 500,Rural,"$288,727 to < $317,442",Under $1.1701
LAKE GRANBURY ACADEMY CHARTER SCHO,1,87,25.3,55.2,13.8,0,3.4,0,2.3,100,0,18.4,0,0,0,.,.,.,.,.,9.8,4.9,4.9,14.8,0,50.7,19.7,9.9,83108,69257,.,48041,21.1,17.6,38.9,20.6,80.5,40,19.5,2.7,77.8,0,0,0,0,100,0,0,0,0,0,838627,100,0,0,0,0,-61288,899915,11687,57.1,0,0,89.3,0,0,0,0,0,0,10.7,Under 500,Charters,Non-taxing entities,Non-taxing entities
GRANBURY ISD,10,7443,1.4,24.9,69.7,0.5,0.9,0.2,2.4,52.9,8.6,12.7,8.4,27.7,8.2,94.9,0.8,461,1072,21.5,918.9,483.6,1,3,9.3,52.6,10.1,24,121259,81199,69846,57756,9.9,15.4,29.9,12,23.8,13.4,1,8.5,89.2,0.4,0.2,0,0.6,74.4,10.8,2.2,3,728551,1.195,77475661,10.7,79.8,9.6,9314844,16855067,0,77291789,9077,58.3,46.1,13.6,5.3,2,3.5,1.5,2.5,1,1,23.5,"5,000 to 9,999",Other Central City Suburban,"$697,496 to < $814,022",$1.1701 to under $1.3141
LIPAN ISD,2,441,0.2,12.5,85.3,0,0,0.2,1.8,49.7,3.9,7.9,3.9,33.1,4.3,96.4,0,30,1059,23,64.4,37.8,1.6,3.9,7,58.7,7.9,21,121392,73414,72016,52217,6.2,11.7,37.8,11.1,15.9,27.7,0,2.6,94.7,2.6,0,0,0,84.7,8,0,0.4,388379,1.48,5346491,49,45.8,5.2,572481,1520015,0,4898169,9593,59.1,50.4,4.6,7.1,0.2,5.4,0.4,3,0.7,1.6,26.7,Under 500,Non-metropolitan Fast Growing,"$382,055 to < $407,429",$1.4301 and over
TOLAR ISD,3,799,1.1,6.8,89.1,0.3,0.3,0.5,2,36.9,0.5,5.9,0.5,37.5,2.1,96.1,0,55,1015,17.7,109.3,65,0.9,1.8,3.6,59.4,9.9,24.4,117433,69743,55938,51712,6.4,12.3,29,13.5,22.5,12.9,0,4.6,95.4,0,0,0,0,80.3,5.5,0,0,269177,1.39,8778140,55.9,40,4.1,1081442,2037913,0,8151350,8733,58.6,49.5,6,4.5,0.4,6.7,0.3,4.5,1,2.4,24.8,500 to 999,Independent Town,"$266,163 to < $288,727",$1.3141 to under $1.4301
SULPHUR SPRINGS ISD,8,4391,10.4,29.2,54.6,0.2,1,0.1,4.5,58.8,14.8,12.2,15.8,30,5.3,95.8,2,289,1034,21,691.8,359.5,1.3,2.2,8.5,52,17.4,18.7,96880,74455,61495,50444,15.7,12.2,31.4,11.8,18.1,13.6,4.1,4.7,89.7,0.3,0.3,0.3,0.6,65.8,6.6,11.3,3.6,282562,1.35,48632519,50.5,34,15.5,5437927,12704373,0,49306377,9708,58.8,44.2,13.2,10.4,0.8,3.7,0.2,2.4,1,0.9,23.3,"3,000 to 4,999",Independent Town,"$266,163 to < $288,727",$1.3141 to under $1.4301
CUMBY ISD,2,394,0.8,12.7,81.2,1.5,0,0.3,3.6,58.1,4.3,16,3.6,45.2,4.6,95.4,0,24,-1,19.5,70.7,39.4,2.8,3,3.5,55.7,12.7,22.2,72566,81403,53398,47715,8.4,10,38.1,10.7,26.3,24.7,0,2.5,97.5,0,0,0,0,76.6,2.5,4.9,0,195263,1.3,4929199,67.5,25.1,7.4,192559,970231,0,5123680,12022,52.8,39.9,7.8,6,0.1,6.7,0.2,6.8,1.1,0.4,31,Under 500,Rural,"$178,741 to < $225,013",$1.1701 to under $1.3141
NORTH HOPKINS ISD,2,541,0.2,22.6,72.6,0.4,0,0,4.3,61.4,10.9,12.9,10.4,34,9.4,96.2,0,40,1018,17.8,91.5,44.7,2.6,3.4,0.6,48.9,22,22.5,83104,59961,61004,48789,10.1,12.1,23.6,14.1,12.9,14.2,0,3.4,96.6,0,0,0,0,63.8,4.5,11.8,0,158349,1.255,6610098,69.9,23.6,6.6,286110,2743003,0,6102301,10599,58,36.2,5.5,12.5,0.9,7.4,2.2,2.9,0.9,2.3,29.3,500 to 999,Rural,"$131,514 to < $178,741",$1.1701 to under $1.3141
MILLER GROVE ISD,1,354,0,15.3,81.6,0,0.3,0,2.8,55.9,5.6,8.5,5.6,33.1,0.3,96.1,0,23,-1,22,49.9,30.1,2,3.9,0,60.3,10,23.8,95645,62517,.,47617,4,11.8,29.9,11.6,16.8,6.9,0,6.7,93.3,0,0,0,0,69.7,6.5,10.2,0,164987,1.32,4096979,69.5,23.2,7.3,210976,1111189,0,3728911,9910,54.3,44.1,5.8,6.3,0.2,4.3,0.5,3.3,0.7,3.4,31.5,Under 500,Non-metropolitan Fast Growing,"$131,514 to < $178,741",$1.3141 to under $1.4301
COMO-PICKTON CISD,1,730,1.5,43,52.1,0.8,0.5,0,2.1,72.9,26.4,14.5,26.2,30.5,4.5,96,0,62,-1,18.5,120.1,65.8,2.2,3.3,5,54.8,10,24.8,89106,70178,54026,48458,14.1,11.1,28.9,12.8,24,20.3,3,6.1,90.9,0,0,0,0,72.7,7.7,2.9,3,187129,1.04,8787765,65.5,23.1,11.4,74630,1611616,0,8561006,10747,59.1,42.6,7.9,8.4,1,5,0.3,4.3,0.9,1.1,28.5,500 to 999,Rural,"$178,741 to < $225,013",Under $1.1701
SALTILLO ISD,1,282,2.8,28.4,66.7,0,0,0,2.1,62.1,13.5,12.1,13.5,34.4,2.5,96.4,0,12,.,20.1,47.6,26.8,1.1,5.3,6,56.4,12.2,19.1,98345,77886,62365,50157,4.2,10.5,22.4,16.5,18.6,15.4,0,3.7,92.5,0,0,0,3.7,73.9,12.4,3.7,0,271520,1.04,3950351,48.9,35.4,15.7,10976,1376923,0,3883128,15923,53.7,35.7,23.6,5.8,2.3,4.4,0.1,3.2,0.4,1.2,23.3,Under 500,Rural,"$266,163 to < $288,727",Under $1.1701
SULPHUR BLUFF ISD,1,224,2.7,10.3,83.9,0.4,0,0,2.7,54,2.2,13.8,1.8,44.2,6.7,96,0,26,-1,21,41.4,19.6,4.3,4.8,2.8,47.3,16.1,24.6,72283,69632,53028,46875,0.7,11.4,44.5,12.6,13.5,25.4,0,0,100,0,0,0,0,72.3,4.9,10.6,0,397109,1.23,3202042,47.3,46.3,6.4,89598,591175,0,3127831,11324,44.8,38.2,4.2,7.2,0.5,5.2,0.3,4,0.6,1.2,38.6,Under 500,Rural,"$382,055 to < $407,429",$1.1701 to under $1.3141
CROCKETT ISD,4,1309,48.5,33.4,13.8,0.2,0.6,0.1,3.4,88.5,18.1,12.5,18,34.4,4,95.2,0.5,68,936,-1,200.3,102.7,2,2.6,5.5,51.3,18,20.6,101185,75117,62416,52467,34.4,12.7,34,14.9,22.2,20.2,20.8,3.9,71.4,1.9,1,0,1,75,9.5,5.2,1.7,326904,1.25,17906743,44.9,31.7,23.4,1153810,6050164,0,17737241,11773,52.8,27.3,10.7,20.8,0.6,4.1,0.2,4.6,1.3,1,29.5,"1,000 to 1,599",Non-metropolitan Stable,"$317,442 to < $337,807",$1.1701 to under $1.3141
GRAPELAND ISD,3,615,22.6,8.8,64.6,0,1.1,0.2,2.8,68.1,1.3,13.7,1.3,41.5,4.6,95.9,0,35,963,23,95.4,45.7,2.3,3,1.2,48,8.3,37.2,84861,48369,54346,48239,18.9,13.4,57.8,7.9,6.1,35.3,4.3,2.2,93.5,0,0,0,0,71.3,5.9,3.8,0,476474,1.32,8424176,38.5,51.9,9.7,823802,3684079,0,10853078,9275,54.2,34.4,5.1,10.8,0.1,6.6,0.3,4.3,2.8,2.4,33.4,500 to 999,Non-metropolitan Fast Growing,"$472,586 to < $483,611",$1.3141 to under $1.4301
LOVELADY ISD,2,507,9.7,13.2,73.2,0.2,0.2,0,3.6,45.6,0.6,10.8,0.6,46.2,4.7,97,0.6,39,1046,18.7,85.5,50,1.5,4.7,1.2,58.5,8.2,26,119227,74546,68366,49890,13.9,10.1,27.8,15.4,14.3,21.8,0,2,96,0,2,0,0,71.4,4.8,8.7,0,493274,1.04,6103732,45,47.8,7.2,25000,1565777,0,6215206,10921,54.9,44.5,5.7,6.6,0.3,7.3,0.3,3.7,0.7,0,31,500 to 999,Rural,"$483,611 to < $530,196",Under $1.1701
LATEXO ISD,2,453,0.7,10.4,86.1,0,1.3,0,1.5,49.4,2.4,11.5,1.8,43,9.1,95.7,0,36,1054,17.1,65.6,36.5,2.2,1.7,4.9,55.7,13.7,21.8,94300,54632,61210,50461,6.1,12.4,27.4,15.4,17.5,14.3,0,0,97.3,0,0,0,2.7,78.1,7.6,0,0,342031,1.204,5054384,53,39.8,7.2,387806,1305093,0,5170528,10761,60.5,46.3,7.2,8.6,0.1,6.3,0.3,3.4,0.7,0,27.2,Under 500,Rural,"$337,807 to < $360,988",$1.1701 to under $1.3141
KENNARD ISD,1,241,12.4,7.1,76.3,0.4,0,0,3.7,66.8,0.8,16.6,0.8,45.2,7.9,95.9,0,11,1043,.,48,23.2,2.1,2.3,6,48.4,14.3,27,104000,78403,59181,49273,14.4,10.4,31.3,14,23.6,32.9,8.5,0,91.5,0,0,0,0,84.8,3.5,3.4,0,396936,1.04,3567250,54.4,34.2,11.3,39755,2343208,0,3536871,13652,46.1,34.1,7.5,10.8,0,4.9,0.3,1.8,0.6,2,38,Under 500,Rural,"$382,055 to < $407,429",Under $1.1701
BIG SPRING ISD,9,3976,6,65.2,25.1,0.1,0.7,0.1,2.8,60.3,4.6,13.8,4,33.6,4.2,93.9,6.3,230,999,18.8,559.4,273.6,1.6,3.5,7.7,48.9,16.5,21.8,90969,77802,57591,47889,39.1,14.5,59.1,8.5,18.1,26.3,4.3,18.7,73.5,1.3,1.1,0,1.1,73.9,11.9,6,1.4,416695,1.24,53206699,28.8,60.3,11,6125712,21701949,0,43276656,9314,52.6,40.9,11.9,10.3,0.1,3.3,0.2,3,0.8,1.5,28.1,"3,000 to 4,999",Independent Town,"$407,429 to < $450,515",$1.1701 to under $1.3141
COAHOMA ISD,3,1125,0.4,39.2,57.8,0.2,0.5,0,1.9,39.9,2.1,9.8,2.1,30.6,7.6,95.4,0,52,-1,19.7,150,79.4,2,2.7,3.3,52.9,15.6,23.5,99240,81396,57549,53006,23.7,14.2,23.9,12.3,8.8,17.7,2.5,17.6,79.8,0,0,0,0,74.8,12.6,6.3,0,323332,1.34,14183296,43.5,44.2,12.3,1256909,2724135,0,13746408,10927,54.6,37.3,23,5.6,0.1,3.7,1,3.4,1,1.2,23.7,"1,000 to 1,599",Non-metropolitan Fast Growing,"$317,442 to < $337,807",$1.3141 to under $1.4301
FORSAN ISD,2,786,1.7,30,63.4,0.8,2.3,0,1.9,33.2,1.8,8.3,1.8,33.2,6.4,96.3,0.5,46,1101,21.2,106.2,58.9,1.9,2.9,5,55.4,14.1,20.6,116447,76959,61064,53655,12.2,13.4,56.6,9.2,10.1,14.2,0,3.4,96.6,0,0,0,0,83.1,3.9,2.3,0,606433,1.399,12721103,29,68.2,2.8,2644698,3495621,0,10449365,10687,53,44.5,4.4,8.4,0,4.5,0.3,4.6,0.6,0.2,32.5,500 to 999,Rural,"$559,445 to < $636,179",$1.3141 to under $1.4301
FT HANCOCK ISD,3,404,0.2,96.5,2.7,0,0.2,0,0.2,88.6,58.2,10.6,73.3,33.2,6.4,96.5,0.8,26,868,-1,84,36.3,3.2,3.6,4.8,43.2,13.5,31.7,103617,74622,69577,54653,95.2,11.1,44.1,11.1,25.5,16.3,0,94.5,5.5,0,0,0,0,33.6,9.5,9,37.1,660747,1.014,5753807,35.9,50.3,13.8,98602,3226457,0,6317430,15655,50.6,37,6.2,16.2,1.7,3.3,0.2,3.4,0.8,1.4,29.7,Under 500,Rural,"$636,179 to < $697,496",Under $1.1701
SIERRA BLANCA ISD,1,105,5.7,66.7,22.9,0,1,0,3.8,84.8,5.7,21.9,5.7,41.9,0,94.8,0,12,-1,18.4,21.5,11.2,1.8,1.8,0,52.3,23.3,20.9,100000,100000,.,62189,76.7,9.3,44.5,13.4,28.8,38.5,0,71.2,28.8,0,0,0,0,82.8,7,0,0,1280265,1.06,2716611,11.4,80.5,8.1,283185,1034121,0,2538192,18300,56,39,5.9,13.6,1.1,3.4,0.2,3.6,0.6,0,32.5,Under 500,Rural,"$847,341 and over",Under $1.1701
DELL CITY ISD,1,66,0,62.1,37.9,0,0,0,0,80.3,30.3,12.1,30.3,37.9,6.1,95.3,0,10,.,21,27.7,12.4,6.8,3.6,3.6,44.8,10.9,30.4,82059,85795,61086,49208,61.5,5.3,83.8,3,0,56.3,8.1,56.6,35.3,0,0,0,0,81.3,4.8,4.6,0,919903,1.04,1833811,46.2,47.8,6.1,29264,1038373,0,2455326,31530,39.2,37.7,8.4,4.7,1.3,1.6,0,5,0,0,41.4,Under 500,Rural,"$847,341 and over",Under $1.1701
CADDO MILLS ISD,4,1913,1.2,18.8,76.8,0.4,0.3,0,2.5,30.4,3.6,11,3.6,34,3.3,96.6,0,107,1071,22.9,263.8,144.2,1.5,3.8,3.7,54.7,9,27.3,115301,74611,63139,50827,12,13.3,31.3,11.6,22.3,20,1.4,4.2,93.1,0,0.7,0.7,0,72.2,6.8,10.5,0.9,243857,1.455,20781618,55.3,39,5.6,2597360,2532524,0,21287596,9084,54.5,44.3,9.8,6,0.1,5.1,0.3,5.5,1.1,1.9,25.9,"1,600 to 2,999",Non-metropolitan Fast Growing,"$225,013 to < $266,163",$1.4301 and over
CELESTE ISD,3,505,2.4,17.6,74.1,1,0,0,5,53.9,3.4,14.3,3,33.3,5.1,96.5,0,47,1037,19.4,85.8,45.2,1.2,3.3,2.9,52.7,19.4,20.5,108350,76762,62258,51563,6.9,11.2,30.6,13.7,22.9,25.5,3.2,2.2,93,1.6,0,0,0,72,9.2,8.5,0,194103,1.431,6980908,67.3,24.2,8.6,588946,1363788,0,6553049,11197,57.1,35.9,8.4,13.4,0.1,6.1,0.2,5.9,1.1,0.6,28.3,500 to 999,Rural,"$178,741 to < $225,013",$1.4301 and over
COMMERCE ISD,4,1520,24.9,21.1,44.7,0.9,1.6,1.1,5.6,69.3,10.3,13.4,10.3,37.8,6.1,94.6,1.2,101,1021,20.1,220.9,120,2.8,4.5,7.7,54.3,12.5,18.2,94266,64577,62354,48951,19.4,12.7,38.2,10.3,27.9,27.9,7.9,2.8,86.8,0,0.8,0.8,0.8,84.9,9.6,3.3,1.7,279147,1.539,20902126,43.8,35,21.2,2062513,6524839,0,20354928,11340,49.6,35.3,20,10.2,0.1,3.2,1.1,3.1,0.4,0,26.6,"1,000 to 1,599",Non-metropolitan Stable,"$266,163 to < $288,727",$1.4301 and over
GREENVILLE ISD,11,5359,15.9,46,31.6,0.4,1,0.2,5,74.1,24.4,12.8,23.7,31.9,8.3,94.5,0.4,386,1024,20.1,751.2,366.7,1.6,3.2,11.9,48.8,11.8,22.7,109637,80108,62331,52497,36.3,14.6,46.7,9.9,21.4,26.6,11.8,10.2,75.5,0.8,0,0,1.6,70.1,11.6,5.1,4.2,375749,1.298,62966786,38.1,44.5,17.4,5592758,11381982,0,59576568,9700,53.5,35.7,13.3,11.6,0.8,4.5,0.2,2.4,0.7,2.2,28.6,"5,000 to 9,999",Independent Town,"$360,988 to < $382,055",$1.1701 to under $1.3141
LONE OAK ISD,3,992,1.9,12.7,82,0.6,0.2,0.3,2.3,38.7,2,16,2,30.3,8.1,96.1,0.3,83,997,21.7,180.5,87.4,1.7,3.9,4.7,48.4,8.9,32.5,102455,72868,51517,50302,8.8,11.4,26.3,12.6,25.1,26.2,2.3,0,97.7,0,0,0,0,82.6,6.1,3.5,0,231027,1.31,12208792,61.8,31.4,6.8,1278095,2435758,0,12476518,11337,51,39.1,11.4,6.7,0,4.6,0.2,3.6,0.9,1.5,31.9,500 to 999,Non-metropolitan Stable,"$225,013 to < $266,163",$1.1701 to under $1.3141
QUINLAN ISD,4,2644,1.4,31.8,63.4,0.6,0.2,0,2.6,67.8,13.4,12.1,13.4,29.7,3.9,94.4,1.3,217,995,18.8,401.3,176.5,2.2,3.1,6.5,44,12.2,32,95050,79168,61891,48473,14.4,15,43.6,10.1,19.8,29.8,1.1,7.4,88.7,0.6,0,0.6,1.7,71.2,9.6,7.9,0.6,281919,1.24,31103097,46.3,36.8,16.9,1148773,12719462,0,29237513,9789,51.9,26.2,12.1,22.5,0.2,5.2,0.3,2.5,3,0,28.1,"1,600 to 2,999",Other Central City Suburban,"$266,163 to < $288,727",$1.1701 to under $1.3141
WOLFE CITY ISD,3,663,2.6,17.9,76.3,0.8,0.5,0,2,55.4,8,9.7,8,28.4,8.1,96.7,0,59,.,21,107.2,59.2,2.3,2.2,2.8,55.3,13.1,24.4,90875,76583,66842,51304,9.2,11.2,23.6,13.6,19,9.8,0,5.1,93.2,1.7,0,0,0,72.7,5.6,9.7,0.2,173987,1.344,8734339,67.1,21.8,11.1,532180,3680521,0,8752066,10864,58.3,38.9,14.1,7.9,0.2,7.2,0.3,4,1.3,1.3,24.7,500 to 999,Rural,"$131,514 to < $178,741",$1.3141 to under $1.4301
CAMPBELL ISD,2,302,0.3,22.8,73.8,0.7,1,0,1.3,70.9,5.6,22.2,5.6,37.1,7.6,95.3,1,25,989,-1,55.9,29.7,3.6,3.6,2.3,53.1,16.1,21.4,87530,70000,48048,46044,5.3,10.2,43.8,8.5,22.6,35.2,0,6.7,93.3,0,0,0,0,73.7,9.9,4.8,0,296638,1.04,4026512,59.1,29.8,11.1,224,2501587,0,3836781,10880,52.2,31.6,10.4,12.5,0.2,6.2,0.4,2.6,1.4,0,34.7,Under 500,Rural,"$288,727 to < $317,442",Under $1.1701
BLAND ISD,3,726,1.4,40.8,55.1,0.8,0.3,0.1,1.5,53.9,15.8,11.2,15.8,47.8,8.5,97.1,0,47,1034,20.4,113,60.6,2.7,3.5,3.4,53.6,17.1,19.6,98302,79048,67311,52901,8.8,12,20,13.5,21.6,20.4,0,3.3,95,0,1.7,0,0,83.4,7.5,0,0,226051,1.364,9076046,64.7,28.7,6.7,1097064,2425978,0,8835079,10046,56.8,44.9,9.6,7.4,1.3,5.3,0.3,2.9,0.7,0.7,27.1,500 to 999,Non-metropolitan Fast Growing,"$225,013 to < $266,163",$1.3141 to under $1.4301
BOLES ISD,3,534,1.3,13.3,79.8,0.9,1.1,0.2,3.4,53,4.1,12.7,3.4,28.7,6,96.3,1.6,46,1153,18.1,104.7,48,1.9,2.9,2,45.9,20.4,26.8,104556,89656,71318,53387,8.6,11.1,25.3,12.1,27.6,22.6,2.1,2.1,93.8,0,2.1,0,0,71.8,8.2,11.4,0.6,29239,1.543,8496153,73.4,4.7,21.9,605872,1997855,0,7600373,12494,58.4,35.9,9,17.4,0.1,4.4,0.8,3.5,1.4,1.5,26.1,500 to 999,Rural,"Under $131,514",$1.4301 and over
BORGER ISD,6,2605,2.1,47.7,44.9,0.6,0.6,0,4,57.9,10.4,12.5,9.4,25.4,5.2,95,0.4,186,1014,21.1,447.6,194,1.1,2.9,8.6,43.3,19.6,24.4,109903,73547,59063,51363,20.2,13.4,46.7,10.5,12.7,17.9,0.5,10.1,87.3,1.5,0,0,0.5,79.8,7.6,0,1.5,229904,1.453,31212977,51.2,31.8,17,4476209,9233347,0,50957707,9307,58,44.9,12.3,10.5,0.4,3.6,0.4,4.3,0.8,0,22.8,"1,600 to 2,999",Non-metropolitan Stable,"$225,013 to < $266,163",$1.4301 and over
SANFORD-FRITCH ISD,3,687,0.9,8.6,86.3,0.6,0.4,0,3.2,41.6,0.1,13.4,0.1,26.5,4.2,94.9,0.4,57,-1,17.8,125.6,65,2.4,2.5,0.6,51.8,17.4,25.4,105068,76177,51865,51995,4.8,10.6,30.2,13.8,13.7,21.4,0,0,96.9,1.5,0,0,1.5,77.3,6.9,4.4,0,169051,1.362,8509232,70,21.6,8.4,637246,3727968,0,8487686,10849,52.9,40.9,10.7,5.8,0,2.9,0.2,3.3,0.9,1.8,33.5,500 to 999,Rural,"$131,514 to < $178,741",$1.3141 to under $1.4301
PLEMONS-STINNETT-PHILLIPS CISD,3,702,0.3,22.6,71.7,1.6,0,0,3.8,40,1.1,14.1,1.1,23.6,6.8,94.8,0,37,.,18.5,126.1,71.7,1.8,2.7,3.4,56.8,8.8,26.4,106007,89062,58145,52339,13.2,9.8,25.1,16.3,18.1,9.2,1.7,9.8,87.2,1.4,0,0,0,75.5,10,2.8,0,1537554,1.37,12661356,6.6,86.2,7.2,3954872,1445616,0,12946942,12529,55.6,46.5,6.9,5.6,0.1,4.5,0.2,4.4,1.7,1.5,28.7,500 to 999,Rural,"$847,341 and over",$1.3141 to under $1.4301
SPRING CREEK ISD,1,105,0,20,72.4,0,1.9,0,5.7,41,1,7.6,1,1,6.7,96.8,.,.,.,.,18.9,10.3,2.2,5.3,0,54.5,9.8,28.3,94839,70000,.,50650,10.3,10.2,27.3,8.3,24.2,35.9,0,0,100,0,0,0,0,84.9,8,3,0,388056,1.12,1530623,62.9,32.5,4.6,63000,486630,0,1361287,14797,49.3,46.6,2.3,6.7,0.1,0,1.3,0.2,0,0,42.9,Under 500,Rural,"$382,055 to < $407,429",Under $1.1701
IRION COUNTY ISD,2,292,0.3,29.8,67.5,0.3,0.3,0,1.7,35.6,0.7,9.9,0.7,37.3,9.2,95.8,0,18,1007,21.1,57.3,30,1.1,3.5,3.5,52.3,13.8,25.7,13682,79150,57001,51501,20.9,9.7,19.9,12.2,16.7,17.2,3.3,6.7,90.1,0,0,0,0,79.9,7.1,0,0,3475679,1.04,4830966,4,93.7,2.3,97551,3584724,0,5277899,18436,51.5,49.2,3.7,4.1,0.1,3.3,0.2,4,0.9,0,34.6,Under 500,Rural,"$847,341 and over",Under $1.1701
BRYSON ISD,1,256,0,9.8,87.1,1.2,0.8,0,1.2,54.7,3.1,10.5,3.1,33.6,5.5,96.2,0,24,-1,18,41.6,23.2,2.4,3,0.2,55.7,16.8,21.9,117000,70617,45660,51347,2.4,11.1,30.2,13.7,12.5,20.6,0,0,100,0,0,0,0,78.8,3.1,8.1,0,622016,1.38,4406068,23.3,67.7,9.1,867317,1724108,0,3852164,12213,49.3,35.5,5.1,8.6,0.1,5.1,0.4,8.5,0.7,1.1,34.8,Under 500,Rural,"$559,445 to < $636,179",$1.3141 to under $1.4301
JACKSBORO ISD,3,1054,0.9,32,63.8,0.5,0.9,0,2,68.6,6.5,11,15.6,34.4,4.5,96.1,0,70,1001,19.7,143.6,82.2,3.5,4.2,5.2,57.3,12.3,17.6,95370,74903,67121,51891,10.3,12.8,26.3,14.6,14.6,17.1,0,5.7,94.3,0,0,0,0,73,6.9,8.2,0,739736,1.5,15710490,17.5,71,11.5,3743364,3340641,0,14617398,11321,51.1,40.4,5.8,8.1,0.7,6.5,0.2,3.8,0.7,0.6,33.3,"1,000 to 1,599",Non-metropolitan Stable,"$697,496 to < $814,022",$1.4301 and over
PERRIN-WHITT CISD,2,318,0,16,80.8,0,0,0.3,2.8,63.8,1.9,14.2,1.9,42.1,5.3,95.5,0,24,995,-1,53.5,31.4,1.9,2,1.6,58.7,14.5,21.4,97603,78002,75087,55933,0,10.1,22,15,8.4,23.9,0,0,100,0,0,0,0,77.9,5,3.1,0,904471,1.248,4516684,11.6,79.1,9.3,894291,1752338,0,4634997,11099,56.5,37.5,8.1,10.8,0.3,6.6,0.2,5.2,1,1.8,28.6,Under 500,Rural,"$847,341 and over",$1.1701 to under $1.3141
EDNA ISD,4,1575,13.3,42.9,39,0.1,2,0,2.7,63,9.7,11.6,9,26.7,7.7,95.4,0,109,990,19.5,221.4,116.8,2.7,3,5.2,52.8,13.5,22.8,100063,78948,49260,46517,21.9,13.5,30,11.8,13.9,21.2,3.4,8.1,88.5,0,0,0,0,79.4,5,6,0,330623,1.28,19810208,44.3,41.1,14.6,1995917,8779451,0,18542744,10309,55.5,36.8,16.1,11.1,0.5,4.9,0.2,5.3,1,0,24.1,"1,000 to 1,599",Non-metropolitan Stable,"$317,442 to < $337,807",$1.1701 to under $1.3141
GANADO ISD,3,738,2.7,56.9,39,0,0.1,0,1.2,58.3,11.2,7.5,11.1,28.3,5.3,96.6,2,61,929,18.1,115.7,60.4,1.7,5.2,1.8,52.2,14.7,24.4,88116,69444,50533,53799,31.2,12.2,42.2,11.7,8.2,34.1,1.7,18.1,80.2,0,0,0,0,83.8,3.3,1.7,1.7,281271,1.399,10038888,62,31.8,6.2,1380767,3686308,0,19599473,11327,62.6,44.9,6,7,0.5,11.9,0.2,4,0.9,0,24.7,500 to 999,Rural,"$266,163 to < $288,727",$1.3141 to under $1.4301
